"NOTE: This sample shows top 5 layoffs per year from 2022–2023",,,,
COMPANY,YEARS,TOTAL_LAID_OFF,INDUSTRY,RANKING
Uber,2020,7525,Transportation,1
Booking.com,2020,4375,Travel,2
Groupon,2020,2800,Retail,3
Swiggy,2020,2250,Food,4
Airbnb,2020,1900,Travel,5
Bytedance,2021,3600,Consumer,1
Katerra,2021,2434,Construction,2
Zillow,2021,2000,Real Estate,3
Instacart,2021,1877,Food,4
WhiteHat Jr,2021,1800,Education,5
Meta,2022,11000,Consumer,1
Amazon,2022,10150,Retail,2
Cisco,2022,4100,Infrastructure,3
Peloton,2022,4084,Fitness,4
Carvana,2022,4000,Transportation,5
Philips,2022,4000,Healthcare,5
Google,2023,12000,Consumer,1
Microsoft,2023,10000,Other,2
Ericsson,2023,8500,Other,3
Amazon,2023,8000,Retail,4
Salesforce,2023,8000,Sales,4
Dell,2023,6650,Hardware,5
